TAZ,CostIIF,CostXXF,CostIXF,CostHBW,CostHBO,CostNHB,CostREC,CostXXP,TimeDiff,TotalFreigh,TotalPass,TotalREC,TotalHBW,TotalHBO,TotalNHB,TotalItime,TotalBtime,TotalTDiff
7342,12.77293678,0,0,0,0,0,0,0,13213.04,85.29,0,0.01,56.45,169.62,38.39,193248112.2,193261325.2,115750573.6
7343,0,0,0,0,0,0,0,0,13213.04,0,0,0.04,62.62,214.06,60.91,193240997.1,193254210.1,115763786.7
7344,108.3637661,0,0,0,0,0,0,0,13213.04,261.7,0,0.01,27.72,87.99,17.59,193255918.7,193269131.7,115776999.7
7345,116.8142612,0,0,0,0,0,0,0,13213.04,347.83,0,0,13.07,52.53,17.63,193266211.5,193279424.5,115790212.8
7346,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,18.43,193220579.3,193233792.4,115803425.8
7347,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,15.95,62.55,5.32,193242825.8,193256038.9,115816638.8
7348,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193220836.7,193234049.8,115829851.9
7349,0,0,0,0,0,0,0,0,13213.04,0,0,0,12.47,36.54,5.92,193327727.7,193340940.7,115843064.9
7350,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,13.11,38.42,8.18,193327016.6,193340229.6,115856278
7351,0,0,0,0,0,0,0,0,13213.04,0,0,0,12.82,43.72,5.65,193326354.8,193339567.8,115869491
7352,12.77293678,0,0,0,0,0,0,0,13213.04,83.13,0,0.03,109.8,274.18,52.24,193327344.9,193340557.9,115882704
7353,26.84621729,0,0,0,0,0,0,0,13213.04,171.13,0,0.04,96.7,247.52,86.93,193333811.4,193347024.4,115895917.1
7354,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,67.98,208.35,24.48,193336935.9,193350148.9,115909130.1
7355,0,0,0,0,0,0,0,0,13213.04,0,0,0,42.08,114.69,12.98,193343541.2,193356754.2,115922343.2
7356,0,0,0,0,0,0,0,0,13213.04,0,0,0.06,101.92,231.14,43.35,193345123.6,193358336.7,115935556.2
7357,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,44.93,109.12,34.24,193341902.9,193355115.9,115948769.2
7358,0,0,0,0,0,0,0,0,13213.04,0,0,0,20.7,80.42,9.08,193345510.8,193358723.8,115961982.3
7359,0,0,0,0,0,0,0,0,13213.04,0,0,0,10.46,20.29,5.31,193345339.2,193358552.2,115975195.3
7360,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193558563.7,193571776.7,115988408.4
7361,103.1986323,0,0,0,0,0,0,0,13213.04,522.79,0,0,0,0,0,193600079.8,193613292.8,116001621.4
7362,97.91017567,0,0,0,0,0,0,0,13213.04,522.68,0,0,0,0,0,193552983.2,193566196.3,116014834.4
7363,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193559403.5,193572616.5,116028047.5
